epoch,lr,train_loss,train_top1,train_top5,train_top10,val_loss,val_top1,val_top5,val_top10,val_gate_mean,val_gate_std,val_gate_min,val_gate_max
1,0.000499508,4.571742705,0.034759358,0.131016043,0.20855615,4.135745194,0.025151515,0.089090909,0.118484849,0.507181581,0.031087416,0.389287382,0.654487491
2,0.000498033,3.733634931,0.165775401,0.431818182,0.558823529,3.689286715,0.112121212,0.340606061,0.394242424,0.530269983,0.046992773,0.343743622,0.732389152
3,0.000495581,3.102704445,0.367647059,0.67513369,0.784759358,3.351027506,0.243030303,0.507272728,0.530606061,0.554244485,0.056904055,0.351899058,0.785763264
4,0.000492161,2.598645215,0.517379679,0.818181818,0.906417112,3.069027464,0.381515152,0.58969697,0.645757576,0.574014077,0.056941165,0.383338749,0.815580249
5,0.000487789,2.276058166,0.601604278,0.882352941,0.943850267,2.868482321,0.475454546,0.658484849,0.763939394,0.591261497,0.065219868,0.376265466,0.829064429
6,0.000482479,1.878398562,0.692513369,0.934491979,0.965240642,2.725085579,0.555757576,0.740606061,0.870303031,0.576790324,0.056924173,0.343007892,0.805187523
7,0.000476254,1.649753365,0.733957219,0.951871658,0.983957219,2.56340446,0.603939394,0.751212122,0.884545455,0.586140429,0.058802212,0.346237391,0.840323448
8,0.000469139,1.423475904,0.795454545,0.975935829,0.99197861,2.490556218,0.633939394,0.764848485,0.894242425,0.580851275,0.061459829,0.304742545,0.835614502
9,0.00046116,1.240229518,0.828877005,0.982620321,0.99197861,2.400421858,0.646060606,0.770909091,0.894242425,0.582713704,0.063060308,0.315715313,0.86506027
10,0.00045235,1.078244293,0.840909091,0.987967914,0.997326203,2.334008028,0.658181818,0.801212122,0.936666667,0.589507373,0.071735692,0.284223258,0.878261268
11,0.000442743,0.915000816,0.893048128,0.990641711,0.998663102,2.284753749,0.67030303,0.801212122,0.942727273,0.580915802,0.071250491,0.264736891,0.86693269
12,0.000432378,0.796092236,0.910427807,0.989304813,0.998663102,2.277597841,0.646060606,0.807272728,0.900303031,0.578993118,0.073524654,0.268290162,0.876058519
13,0.000421295,0.715222108,0.921122995,0.993315508,0.997326203,2.254943658,0.676363637,0.813333334,0.912424243,0.581799143,0.07900037,0.25141716,0.884227335
14,0.000409537,0.60098392,0.926470588,0.997326203,0.998663102,2.169971787,0.694545455,0.843636364,0.930606061,0.579247923,0.076807153,0.192581683,0.886567354
15,0.000397152,0.543045396,0.941176471,0.994652406,1,2.159960202,0.694545455,0.843636364,0.924545455,0.583295311,0.080401876,0.17827265,0.912433326
16,0.000384189,0.492044523,0.955882353,0.994652406,1,2.144459821,0.694545455,0.837575758,0.912424243,0.579318505,0.081114406,0.199635327,0.910611808
17,0.000370698,0.415961555,0.95855615,0.998663102,1,2.112099726,0.712727273,0.855757576,0.924545455,0.574711788,0.084670082,0.175321117,0.903043628
18,0.000356732,0.38251454,0.954545455,1,1,2.16347683,0.688484849,0.81939394,0.918484849,0.570922383,0.085835261,0.166036159,0.898566186
19,0.000342347,0.345159499,0.971925134,1,1,2.234395328,0.664242424,0.807272728,0.906363637,0.571367327,0.087209187,0.178655505,0.908477306
20,0.0003276,0.299870369,0.96657754,0.998663102,1,2.160977426,0.700606061,0.843636364,0.918484849,0.568564909,0.090185425,0.165434435,0.918802202
21,0.000312548,0.276210615,0.969251337,0.997326203,1,2.147587572,0.67030303,0.831515152,0.924545455,0.569855576,0.089839519,0.168963879,0.919396043
22,0.000297252,0.24824089,0.978609626,1,1,2.127822611,0.694545455,0.867878788,0.912424243,0.567013337,0.091716679,0.118701734,0.914485455
23,0.000281771,0.237174562,0.970588235,1,1,2.149530851,0.706666667,0.84969697,0.912424243,0.565854529,0.093880717,0.125442967,0.913254797
24,0.000266166,0.211135871,0.977272727,0.998663102,1,2.24318774,0.682424243,0.831515152,0.900303031,0.568513531,0.09316732,0.155482292,0.916731238
25,0.0002505,0.187797777,0.982620321,1,1,2.253607051,0.688484849,0.825454546,0.906363637,0.564322808,0.095839226,0.135408849,0.915295362
26,0.000234834,0.175074867,0.986631016,1,1,2.167935617,0.694545455,0.837575758,0.924545455,0.565646403,0.097435554,0.127241805,0.921780765
27,0.000219229,0.185542281,0.978609626,1,1,2.191587322,0.706666667,0.81939394,0.906363637,0.561777829,0.094076757,0.141902253,0.91196394
28,0.000203748,0.131735899,0.987967914,1,1,2.195205174,0.700606061,0.837575758,0.906363637,0.561568026,0.096160739,0.129367709,0.919864655
