epoch,lr,train_loss,train_top1,train_top5,train_top10,val_loss,val_top1,val_top5,val_top10,val_gate_mean,val_gate_std,val_gate_min,val_gate_max
18,0.000440221,0.559740992,0.87032156,0.992092778,0.998945704,2.480295168,0.572735426,0.804394619,0.891838566,0.621972612,0.12755664,0.041906316,0.986152649
19,0.000433713,0.481830235,0.890353189,0.99156563,0.996309963,2.508253933,0.572735426,0.793183857,0.900807175,0.627464588,0.131952427,0.025734119,0.991680205
20,0.000426923,0.432026315,0.904059041,0.994728519,0.998418556,2.494538803,0.550313901,0.797668162,0.909775785,0.610519099,0.13136973,0.036195144,0.992153227
21,0.000419861,0.422935995,0.905640485,0.991038482,0.999472852,2.546918562,0.554798206,0.797668162,0.89632287,0.61587589,0.130019935,0.036270283,0.988212526
22,0.000412537,0.399227257,0.905113337,0.993147074,0.998418556,2.556892849,0.561524664,0.802152467,0.900807175,0.611075272,0.129314888,0.025150236,0.988750398
23,0.000404964,0.374681461,0.906167633,0.991038482,1,2.587030156,0.574977579,0.804394619,0.898565023,0.612106128,0.135669781,0.027933776,0.995901883
24,0.000397152,0.335623945,0.921982077,0.996309963,1,2.623532713,0.570493274,0.804394619,0.900807175,0.608726893,0.13672405,0.021578163,0.995473564
25,0.000389115,0.307076333,0.936215076,0.996837111,0.998945704,2.627998325,0.572735426,0.808878924,0.898565023,0.61593124,0.135622471,0.031443443,0.995896578
26,0.000380863,0.303060863,0.923036373,0.997364259,0.999472852,2.671319081,0.574977579,0.806636772,0.898565023,0.615339163,0.139365325,0.039761283,0.995066285
27,0.000372411,0.282022373,0.93252504,0.996837111,0.998945704,2.691452534,0.561524664,0.799910314,0.887354261,0.607952307,0.13913308,0.018387148,0.995856702
28,0.000363771,0.266622112,0.936742225,0.998945704,0.999472852,2.643848549,0.588430493,0.790941704,0.891838566,0.613147242,0.142060269,0.020992829,0.991210222
29,0.000354956,0.266064518,0.93516078,0.996837111,1,2.661943567,0.592914798,0.817847534,0.900807175,0.615196486,0.144993092,0.013752607,0.993240714
30,0.00034598,0.231641067,0.952556668,0.995255667,0.998945704,2.693947467,0.599641256,0.806636772,0.894080718,0.604698227,0.139931774,0.013474689,0.991675377
31,0.000336856,0.205655067,0.948866632,1,1,2.688161124,0.595156951,0.804394619,0.894080718,0.605983312,0.138504968,0.019336164,0.992757142
32,0.0003276,0.221148427,0.950975224,0.997364259,1,2.757748617,0.581704036,0.802152467,0.900807175,0.611805995,0.145838944,0.02537182,0.993053257
33,0.000318224,0.193657901,0.959409594,0.998418556,0.999472852,2.795388959,0.595156951,0.806636772,0.898565023,0.606300097,0.143838527,0.016847536,0.994458556
34,0.000308745,0.184937472,0.956773853,0.999472852,1,2.807729039,0.597399103,0.802152467,0.903049328,0.605968271,0.148719955,0.023601206,0.994240165
35,0.000299175,0.210311156,0.947812335,0.997891407,0.999472852,2.792700485,0.595156951,0.804394619,0.900807175,0.606081342,0.146743822,0.017489094,0.995293438
36,0.00028953,0.169800643,0.959936742,0.998945704,1,2.860582533,0.586188341,0.808878924,0.903049328,0.607332119,0.148517497,0.014535976,0.996572137
37,0.000279826,0.191416197,0.94939378,0.997891407,0.999472852,2.842635114,0.581704036,0.820089687,0.889596413,0.599094097,0.146161493,0.015108248,0.996166766
38,0.000270076,0.15361656,0.961518187,0.997891407,0.998945704,2.823633876,0.595156951,0.826816144,0.894080718,0.601132088,0.14752464,0.014644694,0.995700359
39,0.000260295,0.147745115,0.971534001,0.998945704,0.999472852,2.865473038,0.586188341,0.817847534,0.894080718,0.606524476,0.152137832,0.014929776,0.996285677
40,0.0002505,0.136526601,0.962045335,1,1,2.869001993,0.579461883,0.817847534,0.903049328,0.597193097,0.148692321,0.00833374,0.994939923
41,0.000240705,0.142391129,0.966789668,0.998945704,1,2.862911703,0.588430493,0.817847534,0.907533633,0.601969414,0.151363633,0.007081697,0.996584296
42,0.000230924,0.12560775,0.973115445,1,1,2.864058718,0.599641256,0.820089687,0.903049328,0.604054039,0.15316781,0.007009223,0.995850325
43,0.000221174,0.109200104,0.973642594,0.998945704,0.999472852,2.879586054,0.599641256,0.826816144,0.898565023,0.606143857,0.154839768,0.009282263,0.996640444
44,0.00021147,0.108759209,0.976805482,0.998945704,1,2.931277551,0.592914798,0.820089687,0.894080718,0.599891079,0.153971006,0.009802706,0.995947897
45,0.000201825,0.100827035,0.977859779,1,1,2.922174299,0.592914798,0.820089687,0.90529148,0.600835818,0.154500701,0.010025731,0.994635046
46,0.000192255,0.108096862,0.976805482,0.999472852,1,2.989935358,0.597399103,0.817847534,0.900807175,0.600893255,0.156507401,0.005556455,0.996057272
47,0.000182776,0.109917914,0.976278334,1,1,3.01164546,0.597399103,0.813363229,0.907533633,0.602421213,0.156942998,0.007100324,0.994615495
48,0.0001734,0.108500375,0.972061149,0.997891407,0.999472852,3.01925085,0.590672646,0.813363229,0.900807175,0.603172307,0.156390366,0.007299988,0.993346214
49,0.000164144,0.092592261,0.97469689,0.998945704,1,3.017577203,0.586188341,0.824573991,0.903049328,0.598005551,0.154025276,0.005981881,0.993790567
50,0.00015502,0.083899095,0.982076964,0.999472852,0.999472852,3.03808517,0.590672646,0.824573991,0.907533633,0.604028737,0.155854065,0.005059747,0.995246351
