epoch,lr,train_loss,train_top1,train_top5,train_top10,val_loss,val_top1,val_top5,val_top10
1,0.049997858,5.744064583,0.002108593,0.017923036,0.035846073,5.646887431,0.001515695,0.010179372,0.027085202
2,0.049991433,5.605414415,0.005798629,0.023721666,0.052187665,5.595498145,0.001515695,0.013632287,0.049506726
3,0.049980726,5.555080853,0.004744333,0.031628888,0.060094887,5.550733868,0.003273543,0.024147982,0.033811659
4,0.049965739,5.519569067,0.007907222,0.03110174,0.058513442,5.566544638,0.003273543,0.026358744,0.047264574
5,0.049946474,5.488931877,0.005798629,0.029520295,0.063257775,5.49869319,0.003273543,0.021600897,0.040538117
6,0.049922935,5.460928595,0.005271481,0.037954665,0.077490775,5.584299152,0.003273543,0.024663677,0.029327354
7,0.049895125,5.426879504,0.009488666,0.039008962,0.066420664,5.447062897,0.00403139,0.021390135,0.062959641
8,0.04986305,5.395750489,0.010542963,0.039008962,0.076436479,5.42709861,0.006210762,0.01884305,0.062959642
9,0.049826715,5.346597306,0.009488666,0.04797048,0.086979441,5.365637371,0.007210762,0.023053812,0.060896861
10,0.049786126,5.279595426,0.007380074,0.051660517,0.105956774,5.264634378,0.00303139,0.025053812,0.060896861
11,0.04974129,5.219972989,0.012124407,0.049551924,0.101212441,5.374590938,0.005452915,0.026053812,0.065381166
12,0.049692215,5.15908309,0.015287296,0.072746442,0.130205588,5.141183077,0.010179372,0.031748879,0.101255605
13,0.049638909,5.138527819,0.01686874,0.069056405,0.135477069,5.226970335,0.031210762,0.029506726,0.078834081
14,0.049581381,5.134576427,0.011597259,0.064312072,0.120716921,5.168574027,0.00793722,0.036233184,0.101255606
15,0.049519642,5.0870218,0.018450185,0.069583553,0.136004217,5.059948545,0.012421525,0.040717489,0.128161436
16,0.049453701,5.082741827,0.015814444,0.069583553,0.138639958,5.160918824,0.045695067,0.051928251,0.107982063
17,0.04938357,5.056832132,0.018450185,0.076436479,0.144965735,5.068524981,0.01690583,0.038475337,0.103497758
18,0.049309262,5.018030057,0.020031629,0.086452293,0.158671587,5.103264268,0.001210762,0.031748879,0.103497758
19,0.049230788,4.991665297,0.019504481,0.085925145,0.15498155,5.041154216,0.014663677,0.042959641,0.112466368
20,0.049148163,5.011160941,0.016341592,0.083289404,0.154454402,5.175654591,0.010179372,0.031748879,0.140224216
21,0.0490614,4.950272796,0.020031629,0.09014233,0.170268846,5.318530722,0.00793722,0.047443946,0.137982063
22,0.048970514,4.926672118,0.02530311,0.106483922,0.183974697,4.895702826,0.012421525,0.074349776,0.154035875
23,0.048875521,4.904474134,0.024248814,0.0985767,0.167633105,4.874577191,0.021390135,0.074349776,0.169730942
24,0.048776437,4.877779212,0.025830258,0.103848181,0.183447549,5.082772276,0.00793722,0.049506727,0.129013453
25,0.04867328,4.835727497,0.028993147,0.11544544,0.203479178,5.025854241,0.010179372,0.056412556,0.140224215
26,0.048566066,4.809479407,0.030047443,0.136004217,0.211913548,4.833960018,0.010358745,0.081076234,0.151793722
27,0.048454814,4.788200688,0.030047443,0.11544544,0.207696363,4.835504949,0.01793722,0.067623319,0.165246637
28,0.048339544,4.780629316,0.031628888,0.122298366,0.210332103,4.779264253,0.021390135,0.092286996,0.185246637
29,0.048220274,4.716680851,0.030047443,0.131259884,0.236162362,5.068110139,0.019179372,0.065381166,0.138161436
30,0.048097026,4.67992564,0.039008962,0.147074328,0.248813917,4.956807985,0.02587444,0.076591929,0.194215247
31,0.047969821,4.669064645,0.040590406,0.140221402,0.256721139,4.756114235,0.023632287,0.103497758,0.216636772
32,0.04783868,4.677714927,0.037427517,0.141802847,0.255666842,4.676198949,0.023811659,0.112466368,0.230089687
33,0.047703625,4.609907926,0.045334739,0.157090142,0.257775435,4.653442757,0.023632287,0.121434978,0.221479821
34,0.047564681,4.610203676,0.036900369,0.155508698,0.265682657,4.676976939,0.027358744,0.103497758,0.203542601
35,0.04742187,4.575861427,0.052714813,0.165524512,0.264628361,4.724694305,0.025421525,0.096771301,0.198699552
36,0.047275218,4.556768795,0.040063258,0.168160253,0.280442804,4.651609162,0.026358745,0.121434978,0.245784754
37,0.047124748,4.558652386,0.043226147,0.172377438,0.290985767,4.794021402,0.023632288,0.096771301,0.189730943
38,0.046970488,4.489165924,0.046916183,0.187137586,0.297838693,4.532759172,0.033811659,0.15955157,0.246143498
39,0.046812464,4.489383196,0.049024776,0.181866104,0.295202952,4.656683787,0.03484305,0.116950673,0.201300448
40,0.046650702,4.42605481,0.062203479,0.200843437,0.336847654,4.504200018,0.039327355,0.141614351,0.272690583
41,0.046485231,4.42145434,0.05640485,0.207696363,0.335793358,4.605857804,0.046053812,0.116950673,0.248026906
42,0.046316078,4.397030375,0.055350554,0.198734844,0.332103321,4.506640588,0.037085202,0.148340808,0.274932736
43,0.046143273,4.392726911,0.061149183,0.222983658,0.340537691,5.379238984,0.041390135,0.167623318,0.255067265
44,0.045966845,4.385036807,0.071164997,0.210332103,0.350026357,4.6578633,0.054843049,0.116950673,0.230089687
45,0.045786825,4.326651088,0.061149183,0.207169215,0.356879283,4.800046016,0.041390135,0.194529149,0.223363229
46,0.045603243,4.315765077,0.06483922,0.224565103,0.367422246,4.838947444,0.032421525,0.178834082,0.265246638
47,0.045416131,4.255619793,0.070637849,0.248813917,0.378492356,4.535517295,0.043811659,0.15058296,0.308565023
48,0.04522552,4.198857165,0.077490775,0.267791249,0.401159726,4.320572267,0.052022422,0.195426009,0.32013453
49,0.045031445,4.24854672,0.076436479,0.242488139,0.390089615,4.374555282,0.061506726,0.186457399,0.330986548
50,0.044833937,4.175675701,0.076436479,0.282024249,0.417501318,4.453161722,0.069264574,0.175246638,0.313049328
51,0.044633031,4.188861404,0.08170796,0.272535583,0.411702689,4.830454835,0.07584305,0.143856503,0.248026907
52,0.04442876,4.138409359,0.082235108,0.266209805,0.413284133,4.236233527,0.079201794,0.226816143,0.361524665
53,0.044221161,4.138827859,0.090669478,0.273062731,0.421718503,4.423465472,0.086053812,0.186457399,0.330986547
54,0.044010269,4.099108045,0.085397997,0.286768582,0.439114391,4.210312696,0.080959641,0.226816144,0.324798207
55,0.043796119,4.07313491,0.092250923,0.294675804,0.443331576,4.641647044,0.078600897,0.221434978,0.290269059
56,0.043578749,4.071827528,0.095413811,0.288350026,0.442804428,4.251990616,0.088506727,0.20439462,0.37116592
57,0.043358196,4.022589532,0.105429626,0.318924618,0.466526094,4.236820639,0.086053812,0.226636772,0.420313903
58,0.043134497,4.053302952,0.103321033,0.30416447,0.461254613,4.355351871,0.091506727,0.20439462,0.395650226
59,0.04290769,4.000264756,0.105956774,0.318924618,0.474960464,4.192246758,0.103991031,0.217847534,0.440493274
60,0.042677816,3.947042026,0.111755403,0.327358988,0.479177649,4.183472189,0.094443946,0.239237668,0.456188341
61,0.042444913,3.949834151,0.110173959,0.310490248,0.47337902,4.541179102,0.098295965,0.221793722,0.337354262
62,0.04220902,3.92805416,0.113336848,0.338956247,0.505007907,4.036774878,0.104044843,0.249596413,0.489820629
63,0.041970179,3.872369879,0.110173959,0.33790195,0.512915129,4.201388445,0.099412556,0.269058296,0.440493275
64,0.041728431,3.915595796,0.109119663,0.339483395,0.512387981,4.189561085,0.095022422,0.280089686,0.424798208
65,0.041483816,3.89076509,0.104375329,0.345809172,0.517659462,4.131181018,0.098959641,0.299237669,0.438251122
66,0.041236376,3.889392523,0.12387981,0.345809172,0.505535055,4.018958036,0.108802691,0.350807175,0.523452916
67,0.040986155,3.854287913,0.128096995,0.351080654,0.514496574,4.31467791,0.112959641,0.308878924,0.438251122
68,0.040733195,3.838221037,0.11544544,0.367422246,0.536636795,4.663373634,0.095022422,0.307309418,0.317174889
69,0.040477539,3.794157148,0.127569847,0.368476542,0.528202425,3.985631944,0.101076234,0.357533632,0.541390135
70,0.040219231,3.789240557,0.125988403,0.369530838,0.526093832,3.963042814,0.092107624,0.326143499,0.494304933
71,0.039958316,3.747799344,0.129151292,0.387981023,0.556141276,4.112751392,0.108654709,0.330627803,0.50103139
72,0.039694837,3.810822592,0.108065366,0.361623616,0.525039536,3.91209536,0.086591929,0.361345292,0.550358746
73,0.039428841,3.722389013,0.126515551,0.389562467,0.553505535,3.997624196,0.108654709,0.358206278,0.494304934
74,0.039160373,3.740320497,0.130205588,0.382709541,0.558249868,4.146363323,0.100896862,0.334932736,0.485336324
75,0.038889478,3.71213067,0.133895625,0.390616763,0.574064312,3.874222466,0.103139014,0.341165919,0.548116592
76,0.038616204,3.660009165,0.143384291,0.412229837,0.578808645,4.164457742,0.116591928,0.371659193,0.514484307
77,0.038340596,3.690574486,0.141275698,0.407485503,0.57459146,3.883583325,0.121076234,0.374439463,0.530179374
78,0.038062703,3.718447286,0.13231418,0.388508171,0.553505535,3.895312221,0.112107624,0.363049329,0.530179374
79,0.037782572,3.591734617,0.151291513,0.42804428,0.59725883,3.694291878,0.156950673,0.394977579,0.604170406
80,0.03750025,3.622738698,0.138639958,0.423299947,0.604638904,4.14427048,0.144170404,0.385112108,0.478609866
81,0.037215787,3.626165414,0.16341592,0.41117554,0.578281497,3.917191008,0.157623318,0.350807175,0.543632288
82,0.03692923,3.643174219,0.134422773,0.406958355,0.58882446,3.758496415,0.104529148,0.388251122,0.588475338
83,0.03664063,3.584433321,0.168687401,0.429098577,0.59725883,3.767244284,0.184529148,0.39497758,0.597443948
84,0.036350035,3.593002066,0.151291513,0.430152873,0.603057459,4.12314365,0.135201794,0.389596413,0.512242153
85,0.036057496,3.533070988,0.14918292,0.444385872,0.610964681,4.250452993,0.122107623,0.342511211,0.465156952
86,0.035763062,3.49066114,0.164997364,0.450184502,0.633104903,3.704986745,0.157982063,0.392735428,0.592959642
87,0.035466784,3.46490462,0.171323142,0.453874539,0.641539273,3.913188867,0.137802691,0.359103139,0.559327356
88,0.035168713,3.501399298,0.168687401,0.452293094,0.625724829,3.985737766,0.110896861,0.389596413,0.507757849
89,0.034868899,3.515319442,0.164470216,0.446494465,0.644702161,3.943275662,0.140044843,0.404439463,0.543632288
90,0.034567394,3.465051911,0.164997364,0.466526094,0.634686347,3.83957041,0.128834081,0.361345292,0.548116592
