epoch,lr,train_loss,train_top1,train_top5,train_top10,val_loss,val_top1,val_top5,val_top10
1,0.004999786,6.946362845,0.0009998,0.00559888,0.0109978,6.888249379,0.001325581,0.001627907,0.007054264
2,0.004999143,6.843533661,0.00139972,0.0079984,0.014597081,6.853964712,0.002100775,0.003178295,0.011705426
3,0.004998073,6.798786829,0.00159968,0.01019796,0.019996001,6.830860161,0.002100775,7.75E-05,0.013255814
4,0.004996575,6.764512359,0.00239952,0.01039792,0.021395721,6.81150902,0.002100775,0.002403101,0.011705426
5,0.004994648,6.724104737,0.00379924,0.012797441,0.023395321,6.772900686,0.002875969,7.75E-05,0.011705426
6,0.004992295,6.692999718,0.00239952,0.013797241,0.027194561,6.767665271,0.000550388,7.75E-05,0.009379845
7,0.004989514,6.656537578,0.00239952,0.013197361,0.028194361,6.767091785,0.002875969,0.000852713,0.007829457
8,0.004986307,6.640208779,0.00279944,0.014597081,0.026194761,6.731390983,0.001325581,0.003953488,0.015581395
9,0.004982675,6.604415266,0.00239952,0.01119776,0.022795441,6.688370442,0.002100775,0.001627907,0.013255814
10,0.004978616,6.58178335,0.00279944,0.012797441,0.023595281,6.708177819,0.001325581,0.003178295,0.013255814
11,0.004974134,6.554306787,0.00259948,0.01239752,0.028194361,6.70181392,0.002875969,0.004728682,0.014031008
12,0.004969227,6.519292159,0.004999,0.013997201,0.024795041,6.68116859,0.001325581,0.003953488,0.016356589
13,0.004963897,6.475516818,0.0039992,0.018596281,0.037592482,6.613306242,0.000550388,0.007054264,0.020232558
14,0.004958146,6.437968149,0.0039992,0.021195761,0.041191762,6.549604987,0.002100775,0.010155039,0.023333333
15,0.004951973,6.385837801,0.00239952,0.021395721,0.044991002,6.501090897,0.004426357,0.008604651,0.021782946
16,0.00494538,6.331810628,0.00439912,0.022995401,0.044591082,6.386819675,0.002100775,0.01248062,0.030310078
17,0.004938368,6.290317592,0.004999,0.023795241,0.042991402,6.438781685,0.003651163,0.01248062,0.032635659
18,0.004930939,6.26233885,0.00479904,0.025794841,0.049390122,6.404737629,0.00520155,0.010930233,0.036511628
19,0.004923093,6.210644396,0.00759848,0.031393721,0.054189162,6.320029141,0.006751938,0.014806202,0.035736434
20,0.004914832,6.16653911,0.0089982,0.032393521,0.056788642,6.290063365,0.004426357,0.021705426,0.037286822
21,0.004906157,6.141172823,0.00739852,0.034193161,0.064587083,6.28156291,0.004426357,0.027131783,0.038837209
22,0.00489707,6.096394359,0.00779844,0.038992202,0.068986203,6.27578515,0.005976744,0.027131783,0.041937985
23,0.004887572,6.060782684,0.00919816,0.041391722,0.068786243,6.25412228,0.004426357,0.029457364,0.039612403
24,0.004877666,6.031117774,0.00919816,0.041391722,0.075384923,6.207195839,0.005976744,0.026356589,0.042713178
25,0.004867352,5.984808695,0.01039792,0.045590882,0.076384723,6.254523618,0.002875969,0.02248062,0.038062016
26,0.004856632,5.949741752,0.01059788,0.042791442,0.078584283,6.238771095,0.002875969,0.02248062,0.027209302
27,0.004845509,5.922150387,0.00879824,0.048790242,0.082583483,6.153707684,0.008302326,0.031782946,0.041937985
28,0.004833984,5.880155583,0.01159768,0.051789642,0.090181964,6.149012574,0.007527132,0.027906977,0.047364341
29,0.004822059,5.839899259,0.012597481,0.049790042,0.093981204,6.070326322,0.009852713,0.03875969,0.052790698
30,0.004809737,5.810934865,0.014597081,0.056588682,0.096380724,6.124355943,0.017751938,0.027906977,0.115813954
